date, sell_price, buy_price
2023-05-15 10:35,57500,56500
2023-05-15 14:25,57550,56550
2023-05-16 00:00,57550,56550
2023-05-16 08:55,57500,56500
2023-05-16 10:00,57550,56550
2023-05-16 13:35,57400,56400
2023-05-16 13:40,57450,56450
2023-05-17 00:00,57450,56450
2023-05-17 08:30,57200,56200
2023-05-17 13:20,57150,56150
2023-05-18 00:00,57150,56150
2023-05-18 08:25,57100,56100
2023-05-18 09:05,57150,56150
2023-05-18 09:15,57100,56100
2023-05-18 13:20,57000,56000
2023-05-18 13:35,57050,56050
2023-05-18 13:55,57000,56000
2023-05-19 00:00,57000,56000
2023-05-19 08:25,56700,55700
2023-05-19 09:55,56750,55750
2023-05-19 10:00,56800,55800
2023-05-19 11:40,56800,55850
2023-05-19 13:20,56850,55850
2023-05-20 00:00,56850,55850
2023-05-20 08:25,57000,56000
2023-05-21 00:00,57000,56000
2023-05-22 00:00,57000,56000
2023-05-22 09:10,56950,55950
2023-05-22 09:25,57000,56000
2023-05-22 10:55,56950,55950
2023-05-22 13:20,56900,55900
2023-05-22 14:10,56950,55950
2023-05-22 15:30,56900,55900
2023-05-22 15:45,56950,55950
2023-05-22 16:05,57000,56000
2023-05-23 00:00,57000,56000
2023-05-23 08:30,56850,55850
2023-05-23 08:50,56800,55800
2023-05-24 00:00,56800,55800
2023-05-24 09:15,56900,55950
2023-05-24 09:55,56850,55900
2023-05-24 14:45,56800,55850
2023-05-25 00:00,56800,55850
2023-05-25 08:25,56700,55750
2023-05-25 10:10,56650,55700
2023-05-25 15:40,56700,55750
2023-05-25 16:00,56650,55700
2023-05-26 00:00,56650,55700
2023-05-26 08:30,56550,55600
2023-05-26 08:55,56450,55500
2023-05-26 09:45,56500,55550
2023-05-26 11:15,56550,55600
2023-05-26 12:55,56600,55650
2023-05-26 13:20,56550,55600
2023-05-26 13:30,56600,55650
2023-05-27 00:00,56600,55650
2023-05-27 08:35,56550,55600
2023-05-28 00:00,56550,55600
2023-05-29 00:00,56550,55600
2023-05-29 13:15,56600,55650
2023-05-29 14:10,56550,55600
2023-05-30 00:00,56550,55600
2023-05-30 11:05,56500,55550
2023-05-30 11:10,56450,55500
2023-05-30 13:10,56350,55400
2023-05-30 13:35,56400,55450
2023-05-30 14:30,56350,55400
2023-05-30 15:00,56400,55450
2023-05-30 15:30,56450,55500
2023-05-30 15:55,56500,55550
2023-05-31 00:00,56500,55550
2023-05-31 08:30,56700,55750
2023-05-31 08:40,56650,55700
2023-05-31 09:05,56550,55600
2023-05-31 09:10,56600,55650
2023-05-31 10:00,56550,55600
2023-05-31 11:35,56500,55550
2023-05-31 13:05,56550,55600
