"Date","Price","Open","High","Low","Change %"
"Dec 25, 2008","17,340.0","17,190.0","17,380.0","17,190.0","2.09%"
"Dec 24, 2008","16,984.5","16,987.0","16,993.5","16,938.0","-0.02%"
"Dec 23, 2008","16,987.5","16,989.0","16,991.5","16,939.0","-0.03%"
"Dec 22, 2008","16,992.0","16,889.0","17,043.0","16,889.0","0.01%"
"Dec 19, 2008","16,989.5","16,988.0","17,039.5","16,939.0","0.03%"
"Dec 18, 2008","16,984.5","16,980.0","16,992.5","16,930.0","0.00%"
"Dec 17, 2008","16,984.0","16,950.0","16,991.0","16,933.0","-0.39%"
"Dec 16, 2008","17,050.0","16,984.0","17,050.0","16,926.0","0.00%"
"Dec 15, 2008","17,050.0","17,000.0","17,050.0","16,932.0","0.00%"
"Dec 12, 2008","17,050.0","17,000.0","17,050.0","16,960.0","0.40%"
"Dec 11, 2008","16,982.0","16,980.0","17,052.0","16,930.0","-0.01%"
"Dec 10, 2008","16,983.0","16,984.0","17,038.0","16,920.0","0.01%"
"Dec 09, 2008","16,982.0","16,980.0","16,991.0","16,950.0","-0.00%"
"Dec 08, 2008","16,982.5","17,000.0","17,002.5","16,910.0","0.01%"
"Dec 05, 2008","16,981.0","16,980.0","17,051.0","16,930.0","0.03%"
"Dec 04, 2008","16,975.5","16,979.0","17,034.5","16,880.0","-0.03%"
"Dec 03, 2008","16,980.0","16,977.0","16,981.0","16,920.0","0.01%"
"Dec 02, 2008","16,978.0","17,000.0","17,101.0","16,877.0","-0.42%"
"Dec 01, 2008","17,050.0","16,973.0","17,050.0","16,923.0","0.46%"
"Nov 28, 2008","16,972.0","16,975.0","17,031.0","16,917.0","-0.01%"
"Nov 27, 2008","16,973.5","16,900.0","17,077.5","16,871.0","0.07%"
"Nov 26, 2008","16,962.0","16,975.0","17,037.0","16,900.0","-0.06%"
"Nov 25, 2008","16,973.0","16,973.0","17,027.0","16,921.0","0.03%"
"Nov 24, 2008","16,968.0","16,968.0","17,030.0","16,913.0","-0.02%"
"Nov 21, 2008","16,972.0","16,970.0","17,024.0","16,900.0","-0.02%"
"Nov 20, 2008","16,975.0","16,900.0","17,026.0","16,900.0","0.00%"
"Nov 19, 2008","16,975.0","16,975.0","16,983.0","16,910.0","0.02%"
"Nov 18, 2008","16,972.0","16,970.0","16,990.0","16,950.0","-0.03%"
"Nov 17, 2008","16,977.5","16,970.0","16,990.5","16,930.0","-0.06%"
"Nov 14, 2008","16,987.0","16,970.0","17,037.0","16,920.0","0.10%"
"Nov 13, 2008","16,970.0","16,950.0","17,007.0","16,900.0","0.09%"
"Nov 12, 2008","16,955.0","16,951.0","17,015.0","16,895.0","0.03%"
"Nov 11, 2008","16,950.0","16,850.0","17,030.0","16,850.0","0.03%"
"Nov 10, 2008","16,945.0","16,940.0","17,095.0","16,840.0","-0.11%"
