time,open,high,low,close,EMA,EMA,EMA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram
2021-10-12,27000,27080,26800,26800,22455.109535908596,25677.45980183722,26074.37676913446,60.790208575883376,55.453436708597415,NaN,NaN,NaN,NaN,NaN,NaN,-47.99787582533645
2021-10-13,27000,27270,27000,27200,22502.322376347318,25737.1672605887,26181.578981597842,64.46196164018974,55.995423676610166,NaN,NaN,NaN,NaN,NaN,NaN,-34.79616430023634
2021-10-14,27200,27250,27050,27150,22548.567924841376,25792.572466055808,26273.809554779,63.65947705843347,56.38800266092822,NaN,NaN,NaN,NaN,NaN,NaN,-26.18954312871938
2021-10-15,27380,27380,27060,27200,22594.85083106186,25847.76570268107,26362.01816860957,64.14023372758442,57.23148435538665,NaN,NaN,NaN,NaN,NaN,NaN,-19.31410737414808
2021-10-18,27200,27340,27160,27300,22641.66823572791,25904.716067281814,26451.349771599136,65.13370346759801,57.990006248702194,NaN,NaN,NaN,NaN,NaN,NaN,-12.888051564739726
2021-10-19,27300,27300,27080,27280,22687.820790596288,25958.648770525662,26530.268840970646,64.74735083863857,58.84187483241231,NaN,NaN,NaN,NaN,NaN,NaN,-9.102545714913504
2021-10-20,27280,27500,26900,27500,22735.70317078936,26019.09391677956,26622.62418944963,67.0618382630397,59.55892001196436,NaN,NaN,NaN,NaN,67.0618382630397,NaN,-2.887638519399843
2021-10-21,27210,27290,27070,27290,22781.019557149662,26068.933371023497,26686.183790454426,62.8219375145198,60.54719213988744,NaN,NaN,NaN,NaN,NaN,NaN,-2.896917387425674
2021-10-22,27290,27290,26890,27170,22824.691004342203,26112.11245451277,26732.261524696863,60.469264571637886,61.070428121389234,NaN,NaN,NaN,NaN,NaN,NaN,-6.012494188576966
2021-10-25,27170,27200,26860,27010,22866.33586997064,26147.323730806387,26758.712808059066,57.38351418281022,61.35786310953308,NaN,NaN,57.38351418281022,NaN,NaN,NaN,-12.242855205246997
2021-10-26,27330,27350,26620,27290,22910.352428478396,26192.13456489241,26809.311588243916,61.12244777105636,62.004457120867755,NaN,NaN,NaN,NaN,NaN,NaN,-12.588623023454602
2021-10-27,27200,27500,27000,27320,22954.229518742293,26236.364581955455,26857.948579839733,61.51206897932788,62.5920557757281,NaN,NaN,NaN,NaN,NaN,NaN,-13.079816178963483
2021-10-28,27480,27720,27410,27700,23001.45111557073,26293.76204932975,26938.14395318833,66.14085109155566,63.04721610187711,NaN,NaN,NaN,NaN,NaN,NaN,-7.12956508107527
2021-10-29,27700,27760,27500,27720,23048.40185073918,26349.692949356035,27012.60643383706,66.37009557204486,63.27249666102285,NaN,NaN,NaN,NaN,NaN,NaN,-3.0035414080102782
2021-11-01,27840,27840,27380,27500,23092.69635968705,26394.803029773444,27059.02486870972,61.442142427774876,63.31906336472938,NaN,NaN,NaN,NaN,NaN,NaN,-4.804181540799618
